Name,Gender,Korean Name,Debut,Company,Members,Orig. Memb.,Fanclub Name,Active,disband
Spectrum,M,스펙트럼,09.05.2018,WYNN,6,7,-,Yes,0
Golden Child,M,골든 차일드,28.08.2017,Woollim,10,11,-,Yes,0
ONF,M,온앤오프,02.08.2017,WM,6,7,-,Yes,0
MR.MR,M,미스터미스터,04.10.2012,WinningIn,6,5,-,Yes,0
A.cian,M,에이션,10.10.2012,Wings,4,5,-,No,01.01.2017
CICI,M,씨씨,27.06.2019,UPVOTE,4,4,-,Yes,0
UNB,M,유앤비,07.04.2018,Unit Culture,9,9,-,No,27.01.2019
TRCNG,M,티알씨엔지,10.10.2017,TS,10,10,-,Yes,0
Target,M,타겟,23.01.2018,TNS,7,7,-,Yes,0
Myteen,M,마이틴,26.07.2017,The Music Works,6,7,-,Yes,0
CRAVITY,M,크래비티,04.04.2020,Starship,9,9,-,Yes,0
Seven O'Clock,M,세븐어클락,16.03.2017,Staro,5,6,-,Yes,0
THE MAN BLK,M,더 맨 블랙,15.11.2018,Stardium,10,10,-,Yes,0
Imfact,M,임팩트,27.01.2016,Star Empire,5,5,-,Yes,0
Hotshot,M,핫샷,29.10.2014,Star Crew,5,6,-,Yes,0
The Legend,M,전설,09.07.2014,SS,5,5,-,No,01.01.2017
TRAX,M,트랙스,20.07.2004,SM,2,4,-,No,01.01.2019
AlphaBat,M,알파벳,14.11.2013,Simtong,5,9,-,Yes,0
VROMANCE,M,브로맨스,12.06.2016,RBW,4,4,-,Yes,0
Oneus,M,원어스,09.01.2019,RBW,6,6,-,Yes,0
H.B.Y,M,열혈남아,16.08.2017,Rainbow,5,5,-,Yes,0
B.Heart,M,비하트,25.01.2017,Poong,4,4,-,Yes,0
MVP,M,엠브이피,13.03.2017,PH,7,7,-,Yes,0
Limitless,M,리미트리스,09.07.2019,ONO,4,4,-,Yes,0
Lucente,M,루첸트,18.09.2018,NOGA,7,7,-,Yes,0
HIGH4,M,하이포,08.04.2014,NAP,4,4,-,No,01.01.2017
INX,M,인엑스,02.08.2016,NAS,5,5,-,No,01.11.2017
MustB,M,머스트비,21.01.2019,MustM,7,7,-,Yes,0
IZ,M,아이즈,31.08.2017,Music K,4,4,-,Yes,0
IN2IT,M,인투잇,26.10.2017,MMO,7,8,-,Yes,0
Mfect,M,엠펙트,27.04.2015,Midas,5,5,-,Yes,0
N-Train,M,엔트레인,27.05.2011,MediaLine,5,5,-,No,01.01.2013
The Eastlight,M,더 이스트라이트,03.11.2016,MediaLine,6,6,-,No,18.10.2018
Turbo,M,터보,06.09.1995,MBK,3,3,-,Hiatus,0
Speed,M,스피드,15.01.2013,MBK,7,7,-,No,29.08.2016
1the9,M,원더나인,09.02.2019,MBK,9,9,-,Yes,0
Noir,M,느와르,09.04.2018,LUK,9,9,-,Yes,0
ATEEZ,M,에이티즈,24.10.2018,KQ,8,8,-,Yes,0
ENOi,M,이엔오아이,19.04.2019,KITHEWHALE,7,7,-,Yes,0
DAY6,M,데이식스,07.09.2015,JYP,5,6,-,Yes,0
